# Kalshi Weather Bot — Paper Trading Results
# Generated: 2026-03-12
# $1,000 initial balance | GFS 31-member ensemble vs Kalshi market prices
# Running since: 2026-02-28

Cash Balance:    $3602.11
Equity:          $5782.31
Total P&L:       $+4782.31 (+478.2%)
Open Positions:  48
Closed Trades:   254
Win/Loss:        126W / 128L (49.6% win rate)
Avg Win:         $55.34
Avg Loss:        $17.11
Win/Loss Ratio:  3.23:1

=========================================================================================================
SETTLED TRADES
=========================================================================================================
Date         Ticker                         Side    Qty    In   Out      P&L
--------------------------------------------------------------------------
2026-02-28   KXHIGHNY-26MAR01-B42.5         yes     190    7¢  100¢ $+176.70
  KXHIGHAUS-26MAR11-B80.5             yes     329    16¢ $  52.64
  KXHIGHAUS-26MAR11-B84.5             no      117    73¢ $  85.41
  KXHIGHAUS-26MAR12-T72               yes    1364     1¢ $  13.64
  KXHIGHAUS-26MAR12-B71.5             yes     285     1¢ $   2.85
  KXHIGHAUS-26MAR12-B65.5             no      124    60¢ $  74.40
  KXHIGHAUS-26MAR12-B67.5             no      127    59¢ $  74.93
  KXHIGHAUS-26MAR12-B69.5             no      127    58¢ $  73.66
  KXHIGHAUS-26MAR12-T65               no      109    64¢ $  69.76

Recent Closed (last 10):
  KXHIGHAUS-26MAR10-B80.5  yes  426x  1¢→0¢  $-4.26
  KXHIGHAUS-26MAR10-B82.5  yes  335x  17¢→0¢  $-56.95
  KXHIGHAUS-26MAR10-T80  no  121x  71¢→100¢  +$35.09
  KXHIGHAUS-26MAR10-B84.5  no  133x  58¢→0¢  $-77.14
  KXHIGHNY-26MAR10-B70.5  yes  85x  1¢→0¢  $-0.85
  KXHIGHNY-26MAR10-B72.5  yes  635x  1¢→0¢  $-6.35
  KXHIGHAUS-26MAR10-B86.5  yes  1027x  1¢→0¢  $-10.27
  KXHIGHAUS-26MAR10-B84.5  yes  356x  6¢→100¢  +$334.64
  KXHIGHAUS-26MAR10-B82.5  no  148x  44¢→100¢  +$82.88
  KXHIGHAUS-26MAR10-B80.5  no  98x  65¢→100¢  +$34.30

Paper Balance: $3602.11  |  P&L: $+4782.31
